Task,Phase,Status,Priority,Owner,Time Box,Acceptance Criteria,Risk Notes
Lock contest scope and success criteria,0 Control,Ready,P0 Must Ship,Daniel + PM,20 min,"One-sentence goal, non-goals, budget cap, and ship checklist are written before coding.",Prevents scope creep into Zoom/native/true AR.
Reject native Zoom/OBS/true AR scope,0 Control,Ready,Do Not Build,PM,0 min,"No implementation work goes to native plugins, virtual camera, or depth occlusion for contest MVP.",This is how the project blows up.
Create GitHub repo and Next.js app scaffold,1 Scaffold,Backlog,P0 Must Ship,Coding agent,45-75 min,"Repo runs locally with npm install + npm run dev; deployed placeholder page works.",Hidden token cost from repo scans; keep agent prompts scoped.
Add .env.example and server-side OpenAI client,1 Scaffold,Backlog,P0 Must Ship,Coding agent,30-45 min,"OPENAI_API_KEY documented; key never exposed client-side.",Security failure if API key leaks to browser.
Build camera capture and demo-scene fallback,2 Core Loop,Backlog,P0 Must Ship,Coding agent,1.5-2.5 hr,"Use My Camera and Try Demo Scene both work; denial routes to sample mode without dead end.",Camera permission failure is a judge-killer unless fallback is instant.
Implement GPT-5.5 scene analysis endpoint,2 Core Loop,Backlog,P0 Must Ship,Coding agent,1.5-2.5 hr,"POST /api/analyze returns validated JSON: scene, lighting, mood, attachment points, character concept, image prompt, placement, caption.",Malformed JSON must fall back safely; no chain-of-thought display.
Implement visible scene readout panel,2 Core Loop,Backlog,P0 Must Ship,Coding agent,45-75 min,"UI visibly shows GPT-5.5 scene summary, mood, placement logic, companion concept, and generated caption.",Without this it looks like a sticker generator.
Implement Image Gen companion endpoint,2 Core Loop,Backlog,P0 Must Ship,Coding agent,1.5-3 hr,"POST /api/generate returns one companion image from GPT-5.5-created prompt; errors show fallback.",Image latency/cost risk; no public unlimited generations.
Build canvas overlay editor,2 Core Loop,Backlog,P0 Must Ship,Coding agent,2-4 hr,"User can drag, scale, rotate, and reset companion over snapshot/demo scene.",Bad transform UX makes demo feel broken.
Add visual compositing polish,3 Polish,Backlog,P0 Must Ship,Coding agent + Daniel review,1-2 hr,"Companion has soft shadow, slight scene tint/opacity controls, and fallback sticker-frame mode.",Main failure mode: pasted PNG effect.
Add export/share card,3 Polish,Backlog,P0 Must Ship,Coding agent,1-1.5 hr,"Exported PNG includes scene, companion, companion name, caption, and #OpenAIDevDay2026 footer.",Share card is the viral/judge artifact.
Add session/IP rate limit and cost gate,3 Polish,Backlog,P0 Must Ship,Coding agent,1-2 hr,"One generation/session in browser and server-side abuse guard active before public posting.",No public link without this.
Add companion mode selector: 3 modes only,3 Polish,Backlog,P1 Should Ship,Coding agent,45-90 min,"Desk Critter, Keyboard Pet, Floating Familiar alter the prompt and UI; no overloaded options.",Too many modes creates confusion.
Add idle animation and micro-interactions,3 Polish,Backlog,P1 Should Ship,Coding agent,45-90 min,"Subtle bob/glow/shadow animation that does not block export or placement.",Polish only after core loop is stable.
Create README and JUDGES.md,4 Docs,Backlog,P0 Must Ship,PM + coding agent,45-75 min,"Docs explain 10-second pitch, GPT-5.5 role, Image Gen role, quick test instructions, and limitations.",Docs help human and machine review.
Create PRIVACY.md and COST_CONTROL.md,4 Docs,Backlog,P0 Must Ship,PM + coding agent,30-60 min,"Clearly states snapshots are sent only on action, not stored by app, and generation is capped.",Privacy concern from webcam is predictable; answer it upfront.
Deploy to Vercel and validate HTTPS,5 Submit,Backlog,P0 Must Ship,Daniel + coding agent,45-90 min,"Public link works on desktop; camera prompt appears; demo mode works without camera; API env vars set.",getUserMedia requires secure context outside localhost.
Record 20-30 second demo video/GIF,5 Submit,Backlog,P1 Should Ship,Daniel,30-60 min,"Video shows open link → snap/demo → readout → generated companion → drag/export.",People may not click; video raises odds.
Prepare final X/Twitter submission copy,5 Submit,Backlog,P0 Must Ship,PM,15-25 min,"Post includes #OpenAIDevDay2026, playable link, repo/build notes, and one-line built-with explanation.",Submission format matters.
Final smoke test from fresh browser,5 Submit,Backlog,P0 Must Ship,Daniel + PM,30-45 min,"Test incognito: no login, camera denied path, demo path, successful generation, export card, mobile layout sanity.",Judge experience must not depend on dev machine state.
